id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad,distancia_cuerpo_agua,distancia_curso_agua,microbasurales_cercanos,se_inunda_binaria,frecuencia_num,frecuencia_codificada_Alta,frecuencia_codificada_Baja,frecuencia_codificada_Media,frecuencia_codificada_Otro
972,15394.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Cuartel V,21016.73358388145,5561.129522954791,1,1,1,False,True,False,False
973,23039.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,11250.52571343278,1197.1286830679187,3,2,3,True,False,False,False
974,11215.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Monte Grande,16679.978303833468,2999.2267620878883,2,2,3,True,False,False,False
975,23896.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Francisco Álvarez,18574.630584629274,1916.1494709873948,1,2,3,True,False,False,False
976,20754.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Berazategui,Gutiérrez,17014.32933050767,30.40012943114684,1,1,3,True,False,False,False
977,12871.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Trujui,13659.727802612182,1750.362292761074,2,1,1,False,True,False,False
978,23894.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Moreno,13483.134675865464,516.806923754978,5,2,3,True,False,False,False
979,20156.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,10923.720112761352,904.4413236353516,4,2,3,True,False,False,False
980,13712.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Monte Grande,12153.560259742097,1820.4507246494168,3,1,3,True,False,False,False
981,16716.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,10443.12503827951,296.90434991810525,4,2,2,False,False,True,False
982,23046.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,9839.30677681124,354.9626551381347,4,2,2,False,False,True,False
983,17720.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,12141.793059344587,374.10291121239584,5,2,1,False,True,False,False
984,16715.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,12168.025927547194,191.3251490405445,7,2,3,True,False,False,False
985,23047.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,Nueve De Abril,11262.27675688877,1170.6446842007815,3,2,2,False,False,True,False
986,21839.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Ministro Rivadavia,19844.12081351312,1198.250679346654,2,2,3,True,False,False,False
987,21841.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Glew,21756.29141347248,2688.369079578433,6,2,3,True,False,False,False
988,21843.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Glew,21546.10300200431,2441.3832749605617,4,2,3,True,False,False,False
989,21852.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Ministro Rivadavia,13442.422698956363,703.3963001222711,2,2,3,True,False,False,False
990,22602.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Malvinas Argentinas,15757.325311139164,1916.6255340708929,2,2,3,True,False,False,False
991,13419.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Almirante Brown,Rafael Calzada,9864.83257523129,61.97908952500197,1,1,3,True,False,False,False
992,21869.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Almirante Brown,Don Orione,13544.944293292578,21.50740138604318,2,2,2,False,False,True,False
993,22046.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Quilmes,Quilmes Oeste,4843.101381028416,131.5149580864539,7,2,2,False,False,True,False
994,21873.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Almirante Brown,Burzaco,15550.30957620977,2.0076500363049576,3,2,2,False,False,True,False
995,21874.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Almirante Brown,Malvinas Argentinas,15237.019582829327,33.08885606884407,2,2,2,False,False,True,False
996,21876.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Almirante Brown,Solano,8825.983219107553,1171.3179893840404,5,2,2,False,False,True,False
997,23892.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Villa Lamadrid,14423.930561659396,390.3248464595552,4,2,3,True,False,False,False
998,23068.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,San Fernando,San Fernando,10772.195860293035,584.0033063394028,2,2,1,False,True,False,False
999,13132.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,San Fernando,San Fernando,12018.409421274837,501.2786265997154,2,1,2,False,False,True,False
1000,11028.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,San Miguel,San Miguel,13553.453709198302,2262.36584793818,5,1,3,True,False,False,False
1001,23069.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,San Fernando,Virreyes,7708.907639484054,194.848078327439,1,2,1,False,True,False,False
1002,22889.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,San Miguel,San Miguel,14733.61928465679,1294.985966651194,1,2,3,True,False,False,False
1003,15020.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,San Fernando,San Fernando,10368.20329426389,91.62384922818356,1,1,1,False,True,False,False
1004,15188.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,San Miguel,Bella Vista,5647.017874691732,60.09896993491102,1,1,3,True,False,False,False
1005,23090.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Tigre,El Talar,8309.24280610487,886.672301766445,2,2,1,False,True,False,False
1006,23791.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lanús,Valentín Alsina,11502.947114747474,986.474761439654,3,2,3,True,False,False,False
1007,22553.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Quilmes,Villa La Florida,7918.30625412255,298.46495796287945,1,2,3,True,False,False,False
1008,20057.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Tigre,Rincón De Milberg,6449.424157214872,251.1080496817704,1,1,2,False,False,True,False
1009,13306.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,San Isidro,Boulogne Sur Mer,5645.59187971992,2675.242898700184,1,1,3,True,False,False,False
1010,23850.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lanús,Lanús Oeste,12834.179980788384,612.5803712018429,10,2,3,True,False,False,False
1011,22128.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Quilmes,Quilmes,5930.3523496003645,162.59025496372143,5,2,1,False,True,False,False
1012,17864.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Quilmes,Don Bosco,505.2741968245111,374.711401764484,3,2,3,True,False,False,False
1013,14785.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Merlo,Pontevedra,1484.2721323473968,22.522780132570627,4,1,1,False,True,False,False
1014,23675.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Florencio Varela,Florencio Varela,8942.530423479231,62.801029551602085,4,2,3,True,False,False,False
1015,17116.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Hurlingham,William Morris,7118.111438396694,19.5251739456059,1,1,3,True,False,False,False
1016,19115.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Trujui,12775.815144003083,114.85189538240736,3,1,1,False,True,False,False
1017,14680.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Trujui,14585.032279972553,60.56582889329958,4,2,3,True,False,False,False
1018,11688.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Moreno,Moreno,16453.528812947963,17.02271060376927,2,1,1,False,True,False,False
1019,23761.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Ingeniero Budge,14594.746666138804,475.4009345545368,1,2,3,True,False,False,False
1020,21882.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Cuartel V,16314.243386049016,2328.3034009040266,1,2,3,True,False,False,False
