WKT,id,id_poligon,provincia,departamen,localidad
"MULTIPOLYGON (((-55.914958753471 -27.3563519472267,-55.9148797547912 -27.3557269096727,-55.914672575891 -27.3557483628217,-55.9146358068683 -27.3563993464345,-55.914958753471 -27.3563519472267)))","81","19110",Misiones,Capital,Posadas
"MULTIPOLYGON (((-55.9602712147843 -27.443191265896,-55.9598300494865 -27.4433803367379,-55.9592456487025 -27.4438673373913,-55.9588445893409 -27.4443600674641,-55.9594118018666 -27.4447439385674,-55.959772755292 -27.444852797537,-55.9603399678177 -27.4444918441115,-55.9606035211125 -27.4437928549384,-55.9604488267873 -27.4433574190601,-55.9602712147843 -27.443191265896)))","82","19328",Misiones,Capital,Posadas
"MULTIPOLYGON (((-55.8286501094699 -27.4570379007396,-55.8282768805531 -27.4544687891474,-55.8261985635338 -27.4552427222151,-55.8261334336761 -27.4569086186059,-55.8276013657451 -27.4572842383774,-55.8286501094699 -27.4570379007396)))","83","16957",Misiones,Capital,Garupá
"MULTIPOLYGON (((-55.9493602439761 -27.3891047899848,-55.9494836255908 -27.3892976946463,-55.9496787562966 -27.3891149115341,-55.9493602439761 -27.3891047899848)))","84","15900",Misiones,Capital,Posadas
"MULTIPOLYGON (((-54.5827260944056 -25.6474096842894,-54.5826972880239 -25.6473520715261,-54.5824586065759 -25.6473603019209,-54.5823289778584 -25.6472759403746,-54.5822034643383 -25.6472368459995,-54.5822425587134 -25.6470722381043,-54.5819647828903 -25.6470537197161,-54.5820038772654 -25.6472327308021,-54.5820923540091 -25.6473047467563,-54.5820481156372 -25.6474991898324,-54.5819760996831 -25.6476185305564,-54.5822477027102 -25.6478284056228,-54.5826653952442 -25.648729633849,-54.5827970815604 -25.6486802514804,-54.5828917311001 -25.6483921876638,-54.5827260944056 -25.6474096842894)))","85","21019",Misiones,Iguazú,Puerto Iguazú
"MULTIPOLYGON (((-54.1158870628705 -26.6205131057707,-54.1159606140656 -26.6202698558493,-54.1159832219361 -26.6201658596449,-54.1154914118072 -26.6199791293999,-54.1152869751395 -26.6202700193847,-54.1156683868329 -26.6205080202814,-54.1158870628705 -26.6205131057707)))","86","15471",Misiones,San Pedro,San Pedro
"MULTIPOLYGON (((-53.7457341145372 -26.0592802272335,-53.7456124933744 -26.059261023892,-53.745565551873 -26.0597901826354,-53.7455207440762 -26.0600270238472,-53.7458343986539 -26.0601763831699,-53.7458685379277 -26.0601187731454,-53.7459026772015 -26.0599139375028,-53.7457341145372 -26.0592802272335)))","87","16985",Misiones,General Manuel Belgrano,San Antonio
"MULTIPOLYGON (((-64.0989438417569 -23.2013959982868,-64.0953184668436 -23.1985332022346,-64.0937683065358 -23.2003333883984,-64.0972681716084 -23.2030667700617,-64.0989438417569 -23.2013959982868)))","88","18165",Salta,General José de San Martín,Embarcación
"MULTIPOLYGON (((-63.8224178797214 -22.7297006359665,-63.8220616680725 -22.7296650148016,-63.8218716885264 -22.7297837520179,-63.8216065087433 -22.7302864062336,-63.8217173301452 -22.7305555439239,-63.8213532026818 -22.7308048920781,-63.8215233926919 -22.7311373562838,-63.821903351784 -22.7308721765007,-63.822053752258 -22.7304011855427,-63.8224812062367 -22.7301874585533,-63.8224178797214 -22.7297006359665)))","89","304",Salta,General José de San Martín,Coronel Cornejo
"MULTIPOLYGON (((-63.6979271267014 -22.0562067205075,-63.6982350951969 -22.0560253402892,-63.6980726087514 -22.0558874157483,-63.6979535779832 -22.0558666325982,-63.697834547215 -22.0559629908392,-63.6977551933695 -22.056031008421,-63.6977721977649 -22.0561028047574,-63.6979271267014 -22.0562067205075)))","90","886",Salta,General José de San Martín,Profesor Salvador Mazza
