WKT,id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad
"MULTIPOLYGON (((-60.740941 -32.9568473126213,-60.7401950107632 -32.956850652402,-60.7397911546034 -32.9589894652939,-60.7389510234452 -32.9589412120927,-60.7384066397426 -32.9604601524409,-60.7402170077669 -32.9605966873786,-60.740941 -32.9568473126213)))","2462","15285","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.604260680565 -33.0101636575792,-60.6049629673362 -33.0100501579172,-60.6053388118744 -33.0096998391069,-60.6060194224119 -33.0092266534645,-60.60641605407 -33.0088096969293,-60.6061252027538 -33.0087251281965,-60.6055949938139 -33.0088824280816,-60.6052736232993 -33.0091910133281,-60.6048543589299 -33.009593597862,-60.604260680565 -33.0101636575792)))","2463","21152","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Villa Gobernador Gálvez
"MULTIPOLYGON (((-60.6048439443111 -33.0123243847967,-60.6051848426976 -33.0122683186661,-60.6050192937255 -33.0115253615882,-60.6048318708714 -33.0108079314155,-60.6044848635793 -33.0107966191195,-60.6044848635793 -33.0111750486377,-60.604619009999 -33.0116081805177,-60.6046809821517 -33.0120177356138,-60.6048439443111 -33.0123243847967)))","2464","21151","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Villa Gobernador Gálvez
"MULTIPOLYGON (((-60.6067486838082 -33.008541776893,-60.6068793381747 -33.0089024105311,-60.6087723746896 -33.0085597469891,-60.6097218766809 -33.0081200133166,-60.6096388136713 -33.0077769145208,-60.6093183048958 -33.0077732303503,-60.6083445195148 -33.0080619444762,-60.6067486838082 -33.008541776893)))","2465","21153","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Villa Gobernador Gálvez
"MULTIPOLYGON (((-60.6116159117742 -33.0352349495282,-60.6119920313358 -33.0352301045646,-60.612013755179 -33.0350457798875,-60.6116337377777 -33.0350311973753,-60.6116154475612 -33.0351335862448,-60.6116159117742 -33.0352349495282)))","2466","14101","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Villa Gobernador Gálvez
"MULTIPOLYGON (((-60.6560627319729 -33.010919003752,-60.6560799342747 -33.010206384594,-60.6561036031562 -33.0099354176009,-60.6561415613878 -33.0091591293943,-60.6556953743666 -33.0091500910128,-60.655682571526 -33.0095708977786,-60.655653 -33.009747,-60.655688 -33.009778,-60.655709 -33.009836,-60.6557608461831 -33.0100697608366,-60.655768 -33.010195,-60.6557281548582 -33.010906512873,-60.6560627319729 -33.010919003752)))","2467","20647","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.9043357649538 -32.8882331927754,-60.904310967246 -32.8880877594398,-60.8975897506247 -32.889330997373,-60.8976217565612 -32.8895321000828,-60.9043357649538 -32.8882331927754)))","2468","13200","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Santa Fe,San Lorenzo,Roldán
"MULTIPOLYGON (((-60.6608180295293 -33.0142270671572,-60.6608940842425 -33.0129930713977,-60.6597389590607 -33.0129450249016,-60.6597083212394 -33.0141840721188,-60.6608180295293 -33.0142270671572)))","2469","11735","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6581576767088 -33.0111565208563,-60.6577010711003 -33.0111338569999,-60.6576758507963 -33.0119353272037,-60.6570591226264 -33.0119319435046,-60.6570524988239 -33.0121202858966,-60.6581073804012 -33.012164466395,-60.6581576767088 -33.0111565208563)))","2470","18748","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7063044632624 -32.9787083977245,-60.7040070233518 -32.9786402463794,-60.7039903907343 -32.9791478047883,-60.7063023159341 -32.9792700342215,-60.7063044632624 -32.9787083977245)))","2471","15482","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
